,Popularity
1131,52.0
793,32.0
1116,64.0
1571,71.0
1660,54.0
523,49.0
232,64.0
644,83.0
1497,71.0
533,76.0
1498,61.0
603,74.0
1202,84.0
1074,72.0
1881,69.0
60,32.0
1467,53.0
92,49.0
666,54.0
280,40.0
1107,56.0
359,66.0
1395,66.0
1850,74.0
847,72.0
1855,62.0
110,74.0
42,74.0
125,75.0
204,59.0
52,69.0
545,67.0
68,55.0
1472,61.0
1536,61.0
183,44.0
137,54.0
899,54.0
796,28.0
132,67.0
80,45.0
1767,39.0
541,69.0
1948,77.0
983,65.0
165,74.0
248,51.0
446,42.0
1455,50.0
858,68.0
1204,72.0
97,38.0
1960,60.0
737,30.0
1245,45.0
102,56.0
434,75.0
74,67.0
1780,60.0
1788,56.0
918,74.0
1873,63.0
1659,64.0
1609,74.0
762,84.0
989,48.0
388,72.0
235,79.0
1628,64.0
267,71.0
1860,57.0
117,71.0
1657,47.0
673,24.0
249,77.0
1442,38.0
1981,66.0
94,32.0
33,74.0
1453,59.0
1656,64.0
448,67.0
716,50.0
1764,46.0
1507,31.0
0,71.0
1530,68.0
1101,38.0
1108,56.0
1610,68.0
82,70.0
1278,75.0
676,76.0
1441,40.0
1046,52.0
770,60.0
1208,60.0
1270,41.0
1569,62.0
1908,74.0
404,54.0
1716,74.0
1288,67.0
1330,60.0
104,58.0
688,78.0
1450,45.0
826,67.0
62,48.0
852,79.0
1343,83.0
223,32.0
145,43.0
1088,69.0
373,49.0
1730,53.0
1142,52.0
1815,44.0
1803,41.0
1933,43.0
1452,49.0
9,82.0
449,53.0
708,80.0
255,47.0
882,82.0
389,59.0
908,69.0
924,62.0
1692,74.0
1689,60.0
460,66.0
1259,66.0
1168,62.0
958,69.0
501,51.0
739,65.0
1838,53.0
868,72.0
731,28.0
539,77.0
1201,46.0
697,41.0
1754,51.0
1366,67.0
1145,73.0
1031,80.0
372,62.0
667,41.0
1962,41.0
357,78.0
967,69.0
783,50.0
735,65.0
1035,78.0
970,66.0
1514,69.0
1476,61.0
1841,78.0
1480,68.0
1682,68.0
1704,67.0
1236,45.0
885,75.0
79,45.0
1172,63.0
814,62.0
1284,59.0
671,70.0
1521,49.0
57,44.0
133,52.0
1140,44.0
933,64.0
1673,74.0
823,29.0
1214,52.0
504,34.0
1763,69.0
347,61.0
386,75.0
1024,54.0
894,64.0
828,57.0
1880,73.0
475,39.0
1460,41.0
1961,44.0
1386,66.0
652,60.0
172,64.0
1149,39.0
38,72.0
713,48.0
90,19.0
1923,76.0
1205,58.0
875,58.0
1341,67.0
1877,61.0
1093,51.0
1155,83.0
1353,56.0
1945,78.0
499,66.0
338,63.0
1188,77.0
28,48.0
1217,31.0
1315,64.0
1809,45.0
945,57.0
169,50.0
1394,76.0
1197,56.0
1253,43.0
1777,50.0
912,78.0
491,19.0
953,48.0
1097,40.0
1032,56.0
587,43.0
750,85.0
657,61.0
234,70.0
732,38.0
1975,45.0
1621,61.0
1156,54.0
1985,65.0
1414,53.0
1616,69.0
934,76.0
1209,47.0
1065,68.0
108,72.0
1531,39.0
568,60.0
1167,50.0
1174,51.0
890,53.0
947,74.0
1048,73.0
1342,57.0
1361,50.0
1436,54.0
884,74.0
1802,18.0
850,44.0
734,29.0
717,31.0
454,54.0
264,77.0
75,55.0
1646,57.0
444,76.0
395,57.0
176,40.0
1042,60.0
1980,68.0
1391,51.0
1370,41.0
595,74.0
61,47.0
1296,44.0
872,67.0
1752,66.0
1866,64.0
278,61.0
36,75.0
1505,67.0
662,54.0
1893,65.0
1827,57.0
977,53.0
1560,61.0
738,84.0
191,52.0
919,64.0
456,68.0
675,40.0
760,44.0
1927,48.0
1591,39.0
728,59.0
412,61.0
1098,76.0
825,73.0
1486,60.0
616,69.0
114,77.0
417,84.0
1897,68.0
969,77.0
604,75.0
1905,63.0
89,65.0
848,67.0
1509,50.0
1904,53.0
753,17.0
498,27.0
1276,70.0
1325,69.0
11,74.0
396,48.0
284,34.0
1066,46.0
